,rank,name,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,latitude,longitude
0,1,Freestar,AZ,36.9,36680.3882,Advertising & Marketing,40.0,5,2015,1,Phoenix,Phoenix,,
1,2,FreightWise,TN,33.6,30547.9317,Logistics & Transportation,39.0,8,2015,1,Nashville,Brentwood,,
2,3,Cece's Veggie Co.,TX,24.9,23880.4852,Food & Beverage,190.0,10,2015,1,Austin,Austin,,
3,4,LadyBoss,NM,32.4,21849.8925,Consumer Products & Services,57.0,2,2014,1,New York City,Albuquerque,,
4,5,Perpay,PA,22.5,18166.407,Retail,25.0,6,2014,1,Philadelphia,Philadelphia,,
5,6,Cano Health,FL,271.8,14183.4118,Health,742.0,18,2009,1,Miami,Miami,,
6,7,Bear Mattress,NJ,20.5,13480.731,Consumer Products & Services,12.0,1,2014,1,New York City,Hoboken,,
7,8,Connected Solutions Group,VA,23.3,12700.6588,Telecommunications,72.0,1,2015,1,"Richmond, VA",Mechanicsville,,
8,9,Providence Healthcare Management,OH,225.9,12564.5364,Health,60.0,10,2008,1,Cleveland,Cleveland,,
9,10,NOM,CA,21.4,11996.2964,Advertising & Marketing,37.0,5,2014,1,Los Angeles,Los Angeles,,
10,11,NuLeaf Naturals,CO,13.9,11949.179,Consumer Products & Services,40.0,2,2014,1,Denver,Denver,,
11,12,Urgently,VA,30.3,11632.8771,Logistics & Transportation,226.0,18,2013,1,"Washington, DC",VIenna,,
12,13,nutpods,WA,19.1,11622.5291,Food & Beverage,23.0,3,2013,1,Seattle,Bellevue,,
13,14,YieldStreet,NY,19.1,10561.7147,Financial Services,66.0,10,2015,1,New York City,New York,,
14,15,MuteSix,CA,17.3,10175.7553,Advertising & Marketing,109.0,8,2014,3,Los Angeles,Los Angeles,,
15,16,Anchor Worldwide,NY,10.7,9753.201,Advertising & Marketing,110.0,3,2015,1,New York City,New York,,
16,17,LendingPoint,GA,105.8,9265.2406,Financial Services,190.0,32,2014,1,Atlanta,Kennesaw,,
17,18,With Clarity,NY,19.0,9179.3319,Consumer Products & Services,14.0,2,2013,1,New York City,New York,,
18,19,Sonendo,CA,24.4,8656.9532,Health,191.0,66,2006,1,Los Angeles,Laguna Hills,,
19,20,Kindred Bravely,CA,9.6,8543.9808,Consumer Products & Services,35.0,2,2015,1,San Diego,Oceanside,33.224648,-117.332919
20,21,Tailor Made Compounding,KY,10.2,8327.0956,Health,45.0,1,2015,1,New York City,Nicholasville,,
21,22,SD3IT,FL,11.9,8282.8668,Computer Hardware,12.0,2,2014,1,New York City,The Villages,,
22,23,ConvertKit,ID,13.8,7965.9741,Software,37.0,10,2013,2,"Boise City-Nampa, ID",Boise,,
23,24,Printify,CA,10.5,7926.4244,Software,70.0,5,2015,1,San Francisco,San Francisco,,
24,25,Awardco,UT,8.9,7478.1478,Software,42.0,2,2015,1,"Provo-Orem, UT",Orem,,
25,26,Pegasus Optimization Managers,TX,128.2,7426.8072,Energy,191.0,14,2015,1,New York City,College Station,,
26,27,FITT Scientific,VA,15.8,7329.3794,Government Services,191.0,7,2013,1,"Richmond, VA",Colonial Heights,,
27,28,Amherst Madison,ID,7.8,7301.3354,Real Estate,8.0,1,2014,2,"Boise City-Nampa, ID",Boise,,
28,29,LumenAd,MT,11.8,7045.3631,Software,60.0,3,2014,1,New York City,Missoula,,
29,30,Bendcare,FL,156.0,6900.2519,Health,37.0,6,2015,1,Miami,Boca Raton,,
30,31,The Welfont Companies,FL,20.4,6870.9856,Real Estate,51.0,35,2014,2,Tampa,Tampa,,
31,32,Skinny Dipped,WA,10.2,6641.6793,Consumer Products & Services,21.0,4,2013,1,Seattle,Seattle,,
32,33,RDI Technologies,TN,7.2,6492.7884,Manufacturing,21.0,3,2013,1,New York City,Knoxville,,
33,34,Limited Run Games,NC,20.8,6388.3661,Media,21.0,6,2010,1,"Raleigh, NC",Apex,,
34,35,SwanLeap,WI,162.6,6382.9368,Logistics & Transportation,38.0,13,2013,3,"Madison, WI",Madison,,
35,36,Vesta Modular,MI,48.9,6337.2973,Construction,52.0,2,2014,1,Detroit,Southfield,,
36,37,H&C Animal Health,CO,24.0,6287.4646,Consumer Products & Services,11.0,5,2013,1,Denver,Parker,,
37,38,Homesnap,MD,17.5,6176.6896,Real Estate,85.0,25,2012,2,"Washington, DC",Bethesda,,
38,39,Paradigm Construction,TX,45.2,6145.4572,Construction,27.0,7,2013,2,Houston,The Woodlands,,
39,40,Allata,TX,15.2,6134.3502,IT System Development,71.0,1,2014,1,Dallas,Dallas,,
40,41,Fanchest,NY,8.3,6055.9447,Retail,13.0,2,2014,1,New York City,New York,,
41,42,Fund That Flip,NY,6.4,6017.8863,Real Estate,41.0,5,2014,1,New York City,New York,,
42,43,Villaway,CA,7.0,5935.6786,Travel & Hospitality,15.0,1,2014,2,Los Angeles,Los Angeles,,
43,44,IQM,NY,8.8,5852.2149,Advertising & Marketing,40.0,12,2014,1,New York City,New York,,
44,45,Home Quality Remodeling,CA,6.2,5835.3894,Construction,10.0,2,2004,1,San Francisco,Concord,,
45,46,Beeswax,NY,16.9,5768.1833,Software,56.0,7,2014,1,New York City,New York,,
46,47,Netizen,PA,6.3,5638.3886,Security,46.0,5,2013,1,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,,
47,48,phData,MN,9.8,5638.0311,IT Management,86.0,3,2014,1,Minneapolis,Minneapolis,,
48,49,MDstaffers,CA,7.1,5634.3141,Health,22.0,6,2010,1,New York City,Rancho Cordova,,
49,50,TalEx,MD,48.5,5484.3682,Human Resources,500.0,70,2012,3,"Washington, DC",Clarksburg,,
